run_a,run_b,method_a,method_b,ari,nmi
kmeans_s0,kmeans_s23,KMeans,KMeans,0.5953587931515915,0.7485567392707031
kmeans_s0,gmm_s23,KMeans,GaussianMixture,0.5822491702703484,0.7280003808606149
kmeans_s0,kmeans_s24,KMeans,KMeans,0.7847030321013859,0.8028169846570282
kmeans_s0,gmm_s24,KMeans,GaussianMixture,0.7582930649563656,0.7631167430689115
kmeans_s0,kmeans_s25,KMeans,KMeans,0.4723687437854605,0.6518601806221936
kmeans_s0,gmm_s25,KMeans,GaussianMixture,0.4723687437854605,0.6518601806221936
kmeans_s0,kmeans_s26,KMeans,KMeans,0.4878325729080546,0.6501447509534414
kmeans_s0,gmm_s26,KMeans,GaussianMixture,0.4878325729080546,0.6501447509534414
kmeans_s0,kmeans_s27,KMeans,KMeans,0.5675887677343157,0.7230597527654943
kmeans_s0,gmm_s27,KMeans,GaussianMixture,0.5548055469062173,0.7026061926473134
kmeans_s0,kmeans_s28,KMeans,KMeans,0.4652033457081268,0.6546483425717666
kmeans_s0,gmm_s28,KMeans,GaussianMixture,0.4529882267263503,0.6348584071638536
kmeans_s0,kmeans_s29,KMeans,KMeans,0.8594332545895865,0.8625127187408292
kmeans_s0,gmm_s29,KMeans,GaussianMixture,0.843641289962344,0.8402136132470719
kmeans_s0,agglomerative_average,KMeans,Agglomerative,0.9623140623262759,0.9470685819790218
gmm_s0,spectral_s0,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s1,GaussianMixture,KMeans,0.45088203580718184,0.6381804579562685
gmm_s0,gmm_s1,GaussianMixture,GaussianMixture,0.45137965807198005,0.6507529881741712
gmm_s0,spectral_s1,GaussianMixture,Spectral,0.45022878863270727,0.584927971148596
gmm_s0,kmeans_s2,GaussianMixture,KMeans,0.47852933908560125,0.6244662323016309
gmm_s0,gmm_s2,GaussianMixture,GaussianMixture,0.47852933908560125,0.6244662323016309
gmm_s0,spectral_s2,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s3,GaussianMixture,KMeans,0.5703051906232972,0.7119143741258527
gmm_s0,gmm_s3,GaussianMixture,GaussianMixture,0.5703051906232972,0.7119143741258527
gmm_s0,spectral_s3,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s4,GaussianMixture,KMeans,0.5703051906232972,0.7119143741258527
gmm_s0,gmm_s4,GaussianMixture,GaussianMixture,0.5703051906232972,0.7119143741258527
gmm_s0,spectral_s4,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485962
gmm_s0,kmeans_s5,GaussianMixture,KMeans,0.7163392882132944,0.7575085794655239
gmm_s0,gmm_s5,GaussianMixture,GaussianMixture,0.7245829359018815,0.7762222840278968
gmm_s0,spectral_s5,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s6,GaussianMixture,KMeans,0.5417103248793147,0.6871576783804131
gmm_s0,gmm_s6,GaussianMixture,GaussianMixture,0.5706357531405117,0.7359038557342122
gmm_s0,spectral_s6,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s7,GaussianMixture,KMeans,0.556017993795856,0.6884229733444548
gmm_s0,gmm_s7,GaussianMixture,GaussianMixture,0.5876422381881156,0.7198308298435219
gmm_s0,spectral_s7,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s8,GaussianMixture,KMeans,0.5626199874535948,0.7314456972189798
gmm_s0,gmm_s8,GaussianMixture,GaussianMixture,0.5553181350636502,0.7290439045821855
gmm_s0,spectral_s8,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s9,GaussianMixture,KMeans,0.8860353252251767,0.8818423157010411
gmm_s0,gmm_s9,GaussianMixture,GaussianMixture,0.8794325071130585,0.8798049304282665
gmm_s0,spectral_s9,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485962
gmm_s0,kmeans_s10,GaussianMixture,KMeans,0.6235544985760746,0.7337440763740142
gmm_s0,gmm_s10,GaussianMixture,GaussianMixture,0.6235544985760746,0.7337440763740142
gmm_s0,spectral_s10,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s11,GaussianMixture,KMeans,0.788994980344473,0.7826440372932502
gmm_s0,gmm_s11,GaussianMixture,GaussianMixture,0.7826702158934188,0.7805399447600642
gmm_s0,spectral_s11,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s12,GaussianMixture,KMeans,0.6488270234941166,0.7692650237760218
gmm_s0,gmm_s12,GaussianMixture,GaussianMixture,0.6639618696258599,0.7895555073083002
gmm_s0,spectral_s12,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s13,GaussianMixture,KMeans,0.6675692492387206,0.7586219241714909
gmm_s0,gmm_s13,GaussianMixture,GaussianMixture,0.6761328433996763,0.7769905109412012
gmm_s0,spectral_s13,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s14,GaussianMixture,KMeans,0.5626199874535948,0.7314456972189798
gmm_s0,gmm_s14,GaussianMixture,GaussianMixture,0.5588977796552986,0.7310589995901126
gmm_s0,spectral_s14,GaussianMixture,Spectral,0.45022878863270727,0.5849279711485961
gmm_s0,kmeans_s15,GaussianMixture,KMeans,0.6488270234941166,0.7692650237760217
gmm_s0,gmm_s15,GaussianMixture,GaussianMixture,0.6639618696258599,0.7895555073083003
gmm_s0,kmeans_s16,GaussianMixture,KMeans,0.5797263623872887,0.7201008820647533
gmm_s0,gmm_s16,GaussianMixture,GaussianMixture,0.5801917410798472,0.7202421288889224
gmm_s0,kmeans_s17,GaussianMixture,KMeans,0.6149774341487285,0.7400015219563129
gmm_s0,gmm_s17,GaussianMixture,GaussianMixture,0.6294993273296674,0.7600741289919657
gmm_s0,kmeans_s18,GaussianMixture,KMeans,0.5528238582387823,0.687674310430604
gmm_s0,gmm_s18,GaussianMixture,GaussianMixture,0.5528238582387823,0.687674310430604
gmm_s0,kmeans_s19,GaussianMixture,KMeans,0.6180121034298889,0.7353570512319991
gmm_s0,gmm_s19,GaussianMixture,GaussianMixture,0.6330843953766907,0.7558330860749745
