review_group,title,agency,file_group,cluster,graph_community,anomaly_rank,usefulness_proxy_score,output_path
top_anomaly,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,,1,11.0,7,ufo_release/Department of War/PDF/341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf
top_anomaly,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",Department of War,PDF,,1,12.0,6,ufo_release/Department of War/PDF/DOW-UAP-D49__Launch_Summary__Vandenberg_AFB__2000.pdf
top_anomaly,59_64634_711.5612[7-2852,Department of State,PDF,,1,13.0,6,ufo_release/Department of State/PDF/59_64634_711_5612_7-2852.pdf
top_anomaly,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,2.0,0,14.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_5__Mexico__September_16__2003.pdf
top_anomaly,65_HS1-834228961_62-HQ-83894_Serial_220,FBI,PDF,,1,15.0,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_220.pdf
top_anomaly,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",NASA,PDF,,1,16.0,5,ufo_release/NASA/PDF/NASA-UAP-D6__Apollo_17_Technical_Crew_Debriefing__1973.pdf
top_anomaly,USPER Statement about UAP Sighting,Department of State,PDF,,0,17.0,7,ufo_release/Department of State/PDF/USPER_Statement_about_UAP_Sighting.pdf
top_anomaly,Western US Event,Department of War,PDF,,0,18.0,7,ufo_release/Department of War/PDF/Western_US_Event.pdf
top_anomaly,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,2.0,0,19.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_3__Tbilisi__Georgia__October_30__2001.pdf
top_anomaly,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",NASA,PDF,,1,20.0,5,ufo_release/NASA/PDF/NASA-UAP-D7__Skylab_Techincal_Crew_Debriefing_1973.pdf
top_anomaly,59_214434_SP 16 [7.18.1963],Department of State,PDF,,1,21.0,6,ufo_release/Department of State/PDF/59_214434_SP_16__7_18_1963_.pdf
top_anomaly,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",Department of War,PDF,,0,22.0,7,ufo_release/Department of War/PDF/DOW-UAP-D51__Email_Correspondence__Pacific_Time_Zone__March_2023.pdf
top_anomaly,"DOW-UAP-D48, Department of the Air Force Report, 1996",Department of War,PDF,,1,23.0,6,ufo_release/Department of War/PDF/DOW-UAP-D48__Department_of_the_Air_Force_Report__1996.pdf
