rank,document_id,title,agency,file_group,ensemble_uniqueness,nearest_neighbor_1,nearest_neighbor_2,nearest_neighbor_3,distances,output_path
16,doc_0157,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",NASA,PDF,0.7976939203354299,"NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969","NASA-UAP-D2, Apollo 17 Transcript, 1972","NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973","[0.0738, 0.0756, 0.0825]",ufo_release/NASA/PDF/NASA-UAP-D6__Apollo_17_Technical_Crew_Debriefing__1973.pdf
17,doc_0008,USPER Statement about UAP Sighting,Department of State,PDF,0.7856394129979036,Western US Event,"DOW-UAP-D64, Mission Report, Iran, November 2020","DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020","[0.118, 0.1365, 0.1377]",ufo_release/Department of State/PDF/USPER_Statement_about_UAP_Sighting.pdf
18,doc_0063,Western US Event,Department of War,PDF,0.7824947589098531,USPER Statement about UAP Sighting,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023","DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020","[0.118, 0.1308, 0.1345]",ufo_release/Department of War/PDF/Western_US_Event.pdf
19,doc_0005,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,0.7651991614255765,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","State Department UAP Cable 5, Mexico, September 16, 2003","[0.1062, 0.1099, 0.1243]",ufo_release/Department of State/PDF/State_Department_UAP_Cable_3__Tbilisi__Georgia__October_30__2001.pdf
20,doc_0158,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",NASA,PDF,0.7620545073375262,"NASA-UAP-D2, Apollo 17 Transcript, 1972","NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969","NASA-UAP-D1, Apollo 12 Transcript, 1969","[0.0644, 0.065, 0.0749]",ufo_release/NASA/PDF/NASA-UAP-D7__Skylab_Techincal_Crew_Debriefing_1973.pdf
21,doc_0001,59_214434_SP 16 [7.18.1963],Department of State,PDF,0.7562893081761007,59_64634_711.5612[7-2852,65_HS1-834228961_62-HQ-83894_Section_9,65_HS1-834228961_62-HQ-83894_Section_10,"[0.0218, 0.1127, 0.1156]",ufo_release/Department of State/PDF/59_214434_SP_16__7_18_1963_.pdf
22,doc_0031,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",Department of War,PDF,0.7547169811320754,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025","DOW-UAP-D4, Mission Report, Arabian Gulf, 2020","DOW-UAP-D7, Mission Report, Arabian Gulf, 2020","[0.0918, 0.1025, 0.1051]",ufo_release/Department of War/PDF/DOW-UAP-D51__Email_Correspondence__Pacific_Time_Zone__March_2023.pdf
23,doc_0027,"DOW-UAP-D48, Department of the Air Force Report, 1996",Department of War,PDF,0.7468553459119497,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",38_143685_box_Incident_Summaries_101-172,342_HS1-416511228_319.1 Flying Discs 1949,"[0.0823, 0.1328, 0.1335]",ufo_release/Department of War/PDF/DOW-UAP-D48__Department_of_the_Air_Force_Report__1996.pdf
24,doc_0011,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,0.7442348008385743,342_HS1-416511228_319.1 Flying Discs 1949,38_143685_box_Incident_Summaries_101-172,18_100754_ General 1946-7_Vol_2,"[0.0929, 0.094, 0.1016]",ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf
25,doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,0.7342767295597484,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 1, Papua New Guinea, January 28, 1985","[0.0876, 0.1062, 0.1107]",ufo_release/Department of State/PDF/State_Department_UAP_Cable_2__Kazakhstan__January_31__1994.pdf
