document_id,title,agency,file_group,graph_community,degree,weighted_degree,betweenness,pca_1,pca_2
doc_0096,65_HS1-101634279_100-DE-18221_Serial_844,FBI,PDF,1,8,7.044793486595154,0.0,-0.02334108203649521,0.2673202455043793
doc_0097,65_HS1-101634279_100-DE-26505,FBI,PDF,1,10,9.086509644985199,8.062565508344755e-05,-0.09582550078630447,0.27201905846595764
doc_0087,"DOW-UAP-PR49, Unresolved UAP Report, Department of the Army, 2026",Department of War,VID,4,10,9.418676972389221,0.0,-0.07403560727834702,-0.23711709678173065
doc_0086,"DOW-UAP-PR48, Unresolved UAP Report, INDOPACOM, 2024",Department of War,VID,4,8,7.5072590708732605,0.0,-0.15253259241580963,-0.2268960326910019
doc_0098,65_HS1-834228961_62-HQ-83894_SUB_A,FBI,PDF,1,10,9.640477359294891,0.0,-0.10648169368505478,0.34000924229621887
doc_0099,65_HS1-834228961_62-HQ-83894_Section_1,FBI,PDF,1,17,16.38961499929428,8.062565508344755e-05,-0.08342406153678894,0.34194216132164
doc_0100,65_HS1-834228961_62-HQ-83894_Section_10,FBI,PDF,1,21,19.699934661388397,0.0476497621543175,-0.08877168595790863,0.33251121640205383
doc_0101,65_HS1-834228961_62-HQ-83894_Section_2,FBI,PDF,1,16,15.48285049200058,0.008143191163428203,-0.08477959781885147,0.3335845172405243
doc_0102,65_HS1-834228961_62-HQ-83894_Section_3,FBI,PDF,1,9,8.77678006887436,0.0,-0.08581390976905823,0.33620700240135193
doc_0103,65_HS1-834228961_62-HQ-83894_Section_4,FBI,PDF,1,26,24.603412926197052,0.021607675562363943,-0.08768712729215622,0.34335240721702576
doc_0104,65_HS1-834228961_62-HQ-83894_Section_5,FBI,PDF,1,22,20.898545384407043,0.0027412722728372167,-0.08386392146348953,0.3349882960319519
doc_0105,65_HS1-834228961_62-HQ-83894_Section_6,FBI,PDF,1,28,26.335953950881958,0.024510199145368054,-0.08825720101594925,0.3392898440361023
doc_0106,65_HS1-834228961_62-HQ-83894_Section_7,FBI,PDF,1,21,19.99534523487091,0.0018543900669192937,-0.0899650901556015,0.34827205538749695
doc_0107,65_HS1-834228961_62-HQ-83894_Section_8,FBI,PDF,1,21,19.871757090091705,0.0022575183423365315,-0.09518510848283768,0.34190475940704346
doc_0108,65_HS1-834228961_62-HQ-83894_Section_9,FBI,PDF,1,23,21.505165815353394,0.09110699024429574,-0.0903632640838623,0.3386259377002716
doc_0109,65_HS1-834228961_62-HQ-83894_Serial_130,FBI,PDF,1,17,16.00800746679306,0.02467145045553495,-0.09204943478107452,0.32840293645858765
doc_0110,65_HS1-834228961_62-HQ-83894_Serial_153,FBI,PDF,1,8,7.486037313938141,0.0,0.003142495872452855,0.3044980466365814
doc_0111,65_HS1-834228961_62-HQ-83894_Serial_164,FBI,PDF,1,8,7.614594340324402,0.0,-0.09866885095834732,0.317211776971817
doc_0112,65_HS1-834228961_62-HQ-83894_Serial_220,FBI,PDF,1,8,7.401863932609558,0.0,-0.05545785278081894,0.3132714629173279
doc_0114,65_HS1-834228961_62-HQ-83894_Serial_438,FBI,PDF,1,8,7.509947896003723,0.0,-0.06526061147451401,0.32107213139533997
doc_0113,65_HS1-834228961_62-HQ-83894_Serial_403,FBI,PDF,1,8,7.2748918533325195,0.0,-0.03955665975809097,0.3151789903640747
doc_0115,65_HS1-834228961_62-HQ-83894_Serial_449,FBI,PDF,1,9,8.52169269323349,0.0,-0.07876143604516983,0.3595035970211029
doc_0118,FBI Photo B11,FBI,PDF,2,13,12.741177380084991,0.0008062565508344755,0.43033647537231445,-0.003004578175023198
doc_0117,FBI Photo B10,FBI,PDF,2,10,9.805201828479767,0.0,0.4195830821990967,-0.005456121172755957
doc_0116,FBI Photo B1,FBI,PDF,2,11,10.760460793972015,0.0,0.41202500462532043,-0.01040856447070837
doc_0119,FBI Photo B12,FBI,PDF,2,11,10.756276369094849,0.00024187696525034265,0.409368097782135,-0.014410817064344883
doc_0120,FBI Photo B13,FBI,PDF,2,11,10.619968235492706,0.0,0.3813309371471405,-0.008779502473771572
doc_0121,FBI Photo B14,FBI,PDF,2,14,13.4200798869133,0.010803837781181972,0.41178131103515625,-8.673879347043112e-05
doc_0122,FBI Photo B15,FBI,PDF,2,11,10.583224058151245,0.001612513101668951,0.39952555298805237,0.004667545203119516
doc_0123,FBI Photo B16,FBI,PDF,2,11,10.633940160274506,0.002015641377086189,0.40988385677337646,-0.004411744419485331
doc_0124,FBI Photo B17,FBI,PDF,2,8,7.801939845085144,0.0,0.40399622917175293,0.002070848597213626
doc_0126,FBI Photo B19,FBI,PDF,2,8,7.8048255443573,0.0,0.4257482588291168,0.014387191273272038
doc_0125,FBI Photo B18,FBI,PDF,2,9,8.675942718982697,0.0,0.37554410099983215,-0.008138385601341724
doc_0128,FBI Photo B20,FBI,PDF,2,11,10.746852099895477,0.006369426751592356,0.43668633699417114,0.00775265833362937
doc_0127,FBI Photo B2,FBI,PDF,2,14,13.70024985074997,0.002176892687253084,0.42108073830604553,0.0022942665964365005
doc_0130,FBI Photo B22,FBI,PDF,2,10,9.656527400016785,0.0,0.37638846039772034,-0.006472330540418625
doc_0129,FBI Photo B21,FBI,PDF,2,15,14.617923259735107,0.007175683302426832,0.4425506591796875,0.005254004150629044
doc_0131,FBI Photo B23,FBI,PDF,2,11,10.569883048534393,0.001612513101668951,0.39674049615859985,0.011237437836825848
doc_0132,FBI Photo B24,FBI,PDF,2,9,8.78575587272644,0.002338143997419979,0.4108998477458954,-0.008300218731164932
doc_0134,FBI Photo B4,FBI,PDF,2,11,10.768387973308563,8.062565508344755e-05,0.4241909384727478,-0.005641337484121323
doc_0133,FBI Photo B3,FBI,PDF,2,9,8.629338145256042,0.002660646617753769,0.3807855248451233,0.0022930880077183247
doc_0135,FBI Photo B5,FBI,PDF,2,8,7.794632315635681,0.0,0.4106740951538086,-0.005085837095975876
doc_0136,FBI Photo B6,FBI,PDF,2,9,8.621165454387665,0.0018543900669192937,0.3900047540664673,-0.004059706348925829
doc_0138,FBI Photo B8,FBI,PDF,2,8,7.803198754787445,0.0,0.44101446866989136,-0.00773044116795063
doc_0137,FBI Photo B7,FBI,PDF,2,8,7.796434044837952,0.0,0.4038819670677185,-0.0009753041085787117
doc_0139,FBI Photo B9,FBI,PDF,2,12,11.758913815021515,0.00024187696525034265,0.4343721270561218,-0.0034613721072673798
doc_0140,FBI September 2023 Sighting - Composite Sketch,FBI,PDF,2,8,6.764050006866455,0.0,0.15730710327625275,0.06962685286998749
doc_0141,FBI September 2023 Sighting - Serial 3,FBI,PDF,0,12,10.456838130950928,0.016689510602273642,-0.0749845802783966,0.097503162920475
doc_0142,FBI September 2023 Sighting - Serial 4,FBI,PDF,0,13,11.351067006587982,0.01249697653793437,-0.08654364198446274,0.07858603447675705
doc_0143,FBI September 2023 Sighting - Serial 5,FBI,PDF,0,12,10.551617920398712,0.08094815770378135,-0.0797090232372284,0.09798230230808258
doc_0144,"NASA-UAP-VM1, Apollo 12, 1969",NASA,IMG,1,8,7.303063094615936,0.0,0.09685857594013214,-0.016879208385944366
doc_0145,"NASA-UAP-VM2, Apollo 12, 1969",NASA,IMG,1,8,7.274239599704742,0.0,0.0662636086344719,0.023606879636645317
doc_0146,"NASA-UAP-VM3, Apollo 12, 1969",NASA,IMG,1,8,7.364291548728943,0.001612513101668951,0.07236708700656891,-0.0049544996581971645
doc_0147,"NASA-UAP-VM4, Apollo 12, 1969",NASA,IMG,1,8,7.311841070652008,0.0,0.09069419652223587,-0.024478603154420853
doc_0150,255_413270_UFO's_and_Defense_What_Should_we_Prepare_For,NASA,PDF,1,10,8.6623175740242,0.0008062565508344755,-0.12524819374084473,0.1943858414888382
doc_0149,"NASA-UAP-VM6, Apollo 17, 1972",NASA,IMG,1,8,7.324328601360321,0.00040312827541723773,0.07784486562013626,-0.007933388464152813
doc_0148,"NASA-UAP-VM5, Apollo 12, 1969",NASA,IMG,1,8,7.342343628406525,0.0,0.0724707618355751,0.008898983709514141
doc_0151,255_t_763_r1b_transcripts,NASA,PDF,1,9,7.916938424110413,0.0041119084092558255,-0.0767986848950386,0.18751880526542664
doc_0152,"NASA-UAP-D1, Apollo 12 Transcript, 1969",NASA,PDF,1,15,13.248526334762573,0.03281464161896315,-0.13529500365257263,0.15932786464691162
doc_0153,"NASA-UAP-D2, Apollo 17 Transcript, 1972",NASA,PDF,1,15,13.251313388347626,0.019027654599693623,-0.15433208644390106,0.15923309326171875
doc_0156,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",NASA,PDF,1,8,7.145718574523926,0.0,-0.13466939330101013,0.19794191420078278
doc_0154,"NASA-UAP-D3, Gemini 7 Transcript, 1965",NASA,PDF,1,9,8.094657957553864,0.06063049262275256,-0.10805986076593399,0.17631345987319946
doc_0155,"NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969",NASA,PDF,1,15,13.253097236156464,0.03394340079013142,-0.14595405757427216,0.17927062511444092
doc_0157,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",NASA,PDF,1,8,7.181468963623047,0.0,-0.11425627768039703,0.12879469990730286
doc_0159,255-t-763-r1b-excerpt,NASA,VID,1,8,6.5472108125686646,0.06151737482867048,0.03480393812060356,0.0025207523722201586
doc_0158,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",NASA,PDF,1,8,7.29779726266861,0.0,-0.14697960019111633,0.15310005843639374
