document_id,Title,Agency,File Group,Output Path,global_centroid_cosine,nearest_neighbor_cosine,isolation_forest,local_outlier_factor,cluster_residual_cosine,modality_residual_cosine,global_centroid_cosine_pct,nearest_neighbor_cosine_pct,isolation_forest_pct,local_outlier_factor_pct,cluster_residual_cosine_pct,modality_residual_cosine_pct,ensemble_uniqueness,ensemble_rank,review_group
doc_0140,FBI September 2023 Sighting - Composite Sketch,FBI,PDF,ufo_release/FBI/PDF/FBI_September_2023_Sighting_-_Composite_Sketch.pdf,0.13348079,0.144458,0.4952689629673917,5.0134435,0.1452547311782837,0.1337478756904602,0.949685534591195,0.9937106918238994,0.9874213836477987,1.0,0.9937106918238994,0.9874213836477987,0.9853249475890984,1,top_anomaly
doc_0159,255-t-763-r1b-excerpt,NASA,VID,ufo_release/NASA/VID/255-t-763-r1b-excerpt.mp4,0.15481514,0.15268266,0.5116605000226806,1.637768,0.1504285335540771,0.1571204662322998,1.0,1.0,1.0,0.8805031446540881,1.0,1.0,0.980083857442348,2,top_anomaly
doc_0096,65_HS1-101634279_100-DE-18221_Serial_844,FBI,PDF,ufo_release/FBI/PDF/65_HS1-101634279_100-DE-18221_Serial_844.pdf,0.13695168,0.10799724,0.491186723676554,1.7521374,0.1014192104339599,0.1233783364295959,0.9685534591194968,0.949685534591195,0.981132075471698,0.9371069182389936,0.9748427672955976,0.9308176100628932,0.9570230607966456,3,top_anomaly
doc_0013,"341_110677_Numerical_File,_5-2500",Department of War,PDF,ufo_release/Department of War/PDF/341_110677_Numerical_File__5-2500.pdf,0.12963343,0.1269536,0.4807998073573525,1.7424736,0.0992434024810791,0.119528591632843,0.8930817610062893,0.9874213836477987,0.9245283018867924,0.9308176100628932,0.9559748427672956,0.89937106918239,0.931865828092243,4,top_anomaly
doc_0156,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",NASA,PDF,ufo_release/NASA/PDF/NASA-UAP-D5__Apollo_17_Crew_Debriefing_for_Science__1973.pdf,0.13619912,0.07700908,0.4847957826134359,1.4865581,0.1016021966934204,0.1287709474563598,0.9622641509433962,0.8616352201257862,0.9559748427672956,0.8176100628930818,0.981132075471698,0.9685534591194968,0.9245283018867924,5,top_anomaly
doc_0113,65_HS1-834228961_62-HQ-83894_Serial_403,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_403.pdf,0.14605898,0.0866279,0.4824407816079055,1.3973209,0.0943359732627868,0.1328625679016113,0.9874213836477987,0.89937106918239,0.9371069182389936,0.7547169811320755,0.9182389937106918,0.981132075471698,0.9129979035639412,6,top_anomaly
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_1__Papua_New_Guinea__January_28__1985.pdf,0.12739086,0.11067802,0.487243482730224,1.5761648,0.0685161352157592,0.1213653087615966,0.8616352201257862,0.9559748427672956,0.9748427672955976,0.8490566037735849,0.6918238993710691,0.9119496855345912,0.8742138364779874,7,top_anomaly
doc_0151,255_t_763_r1b_transcripts,NASA,PDF,ufo_release/NASA/PDF/255_t_763_r1b_transcripts.pdf,0.12614053,0.04909706,0.4826846018087217,1.4572724,0.100670576095581,0.1199501752853393,0.8490566037735849,0.7515723270440252,0.9433962264150944,0.7987421383647799,0.9685534591194968,0.9056603773584906,0.869496855345912,8,top_anomaly
doc_0150,255_413270_UFO's_and_Defense_What_Should_we_Prepare_For,NASA,PDF,ufo_release/NASA/PDF/255_413270_UFO_s_and_Defense_What_Should_we_Prepare_For.pdf,0.12134981,0.123289466,0.481094060655396,1.434006,0.0911097526550293,0.1115191578865051,0.7924528301886793,0.9748427672955976,0.9308176100628932,0.779874213836478,0.8867924528301887,0.8113207547169812,0.8626834381551362,9,top_anomaly
doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_4__Ashgabat__Turkmenistan__November_5__2004.pdf,0.13199937,0.08764821,0.4967010635293862,1.6749539,0.0551478862762451,0.1250452995300293,0.9245283018867924,0.9088050314465408,0.9937106918238994,0.89937106918239,0.4842767295597484,0.9433962264150944,0.8590146750524109,10,top_anomaly
doc_0012,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,ufo_release/Department of War/PDF/341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,0.118828595,0.10645729,0.4761111726531525,1.5689739,0.0931675434112548,0.1078251600265502,0.7547169811320755,0.9433962264150944,0.89937106918239,0.8364779874213837,0.9056603773584906,0.7861635220125787,0.8542976939203356,11,top_anomaly
doc_0028,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D49__Launch_Summary__Vandenberg_AFB__2000.pdf,0.10946101,0.08226627,0.4783157095144637,1.6701883,0.1144653558731079,0.1054895520210266,0.6289308176100629,0.889937106918239,0.9119496855345912,0.8930817610062893,0.9874213836477987,0.7547169811320755,0.8443396226415093,12,top_anomaly
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,ufo_release/Department of State/PDF/59_64634_711_5612_7-2852.pdf,0.13231623,0.021811962,0.4847324289275295,1.7781781,0.0912839174270629,0.1220866441726684,0.9371069182389936,0.3176100628930817,0.949685534591195,0.9559748427672956,0.8930817610062893,0.9245283018867924,0.8296645702306079,13,top_anomaly
