document_id,neighbor_document_id,neighbor_rank,cosine_distance,source_case_pack_id,neighbor_case_pack_id,same_case_pack,source_title,neighbor_title
doc_0003,doc_0004,1,0.1106780171394348,case_pack_0035_State_Department_cable_Papua_New_Guinea,case_pack_0033_State_Department_cable_Kazakhstan,False,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985","State Department UAP Cable 2, Kazakhstan, January 31, 1994"
doc_0003,doc_0005,2,0.1331003308296203,case_pack_0035_State_Department_cable_Papua_New_Guinea,case_pack_0036_State_Department_cable_Tbilisi,False,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001"
doc_0003,doc_0006,3,0.1449006795883178,case_pack_0035_State_Department_cable_Papua_New_Guinea,case_pack_0032_State_Department_cable_Ashgabat,False,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985","State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004"
doc_0003,doc_0007,4,0.1466272473335266,case_pack_0035_State_Department_cable_Papua_New_Guinea,case_pack_0034_State_Department_cable_Mexico,False,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985","State Department UAP Cable 5, Mexico, September 16, 2003"
doc_0003,doc_0143,5,0.1622609496116638,case_pack_0035_State_Department_cable_Papua_New_Guinea,case_pack_0024_FBI_September_2023_sighting_packet,False,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",FBI September 2023 Sighting - Serial 5
doc_0004,doc_0006,1,0.0876482129096984,case_pack_0033_State_Department_cable_Kazakhstan,case_pack_0032_State_Department_cable_Ashgabat,False,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004"
doc_0004,doc_0005,2,0.106241762638092,case_pack_0033_State_Department_cable_Kazakhstan,case_pack_0036_State_Department_cable_Tbilisi,False,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001"
doc_0004,doc_0003,3,0.1106780171394348,case_pack_0033_State_Department_cable_Kazakhstan,case_pack_0035_State_Department_cable_Papua_New_Guinea,False,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 1, Papua New Guinea, January 28, 1985"
doc_0004,doc_0007,4,0.1368793249130249,case_pack_0033_State_Department_cable_Kazakhstan,case_pack_0034_State_Department_cable_Mexico,False,"State Department UAP Cable 2, Kazakhstan, January 31, 1994","State Department UAP Cable 5, Mexico, September 16, 2003"
doc_0004,doc_0143,5,0.1384387016296386,case_pack_0033_State_Department_cable_Kazakhstan,case_pack_0024_FBI_September_2023_sighting_packet,False,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",FBI September 2023 Sighting - Serial 5
doc_0001,doc_0002,1,0.0218119621276855,case_pack_0001_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0002_Department_of_State_PDF_singleton_uncertain_case_candidate_5,False,59_214434_SP 16 [7.18.1963],59_64634_711.5612[7-2852
doc_0001,doc_0108,2,0.1127336621284484,case_pack_0001_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_214434_SP 16 [7.18.1963],65_HS1-834228961_62-HQ-83894_Section_9
doc_0001,doc_0100,3,0.1156060695648193,case_pack_0001_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_214434_SP 16 [7.18.1963],65_HS1-834228961_62-HQ-83894_Section_10
doc_0001,doc_0107,4,0.1161934733390808,case_pack_0001_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_214434_SP 16 [7.18.1963],65_HS1-834228961_62-HQ-83894_Section_8
doc_0001,doc_0105,5,0.1214073896408081,case_pack_0001_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_214434_SP 16 [7.18.1963],65_HS1-834228961_62-HQ-83894_Section_6
