document_id,neighbor_document_id,neighbor_rank,cosine_distance,source_case_pack_id,neighbor_case_pack_id,same_case_pack,source_title,neighbor_title
doc_0002,doc_0001,1,0.0218119621276855,case_pack_0002_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0001_Department_of_State_PDF_singleton_uncertain_case_candidate_5,False,59_64634_711.5612[7-2852,59_214434_SP 16 [7.18.1963]
doc_0002,doc_0108,2,0.1201270222663879,case_pack_0002_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_64634_711.5612[7-2852,65_HS1-834228961_62-HQ-83894_Section_9
doc_0002,doc_0106,3,0.120485246181488,case_pack_0002_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_64634_711.5612[7-2852,65_HS1-834228961_62-HQ-83894_Section_7
doc_0002,doc_0107,4,0.1205931901931762,case_pack_0002_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_64634_711.5612[7-2852,65_HS1-834228961_62-HQ-83894_Section_8
doc_0002,doc_0100,5,0.122033953666687,case_pack_0002_Department_of_State_PDF_singleton_uncertain_case_candidate_5,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,59_64634_711.5612[7-2852,65_HS1-834228961_62-HQ-83894_Section_10
doc_0006,doc_0004,1,0.0876482129096984,case_pack_0032_State_Department_cable_Ashgabat,case_pack_0033_State_Department_cable_Kazakhstan,False,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","State Department UAP Cable 2, Kazakhstan, January 31, 1994"
doc_0006,doc_0005,2,0.1098973155021667,case_pack_0032_State_Department_cable_Ashgabat,case_pack_0036_State_Department_cable_Tbilisi,False,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001"
doc_0006,doc_0007,3,0.1322947740554809,case_pack_0032_State_Department_cable_Ashgabat,case_pack_0034_State_Department_cable_Mexico,False,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","State Department UAP Cable 5, Mexico, September 16, 2003"
doc_0006,doc_0003,4,0.1449006795883178,case_pack_0032_State_Department_cable_Ashgabat,case_pack_0035_State_Department_cable_Papua_New_Guinea,False,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004","State Department UAP Cable 1, Papua New Guinea, January 28, 1985"
doc_0006,doc_0143,5,0.1540130972862243,case_pack_0032_State_Department_cable_Ashgabat,case_pack_0024_FBI_September_2023_sighting_packet,False,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",FBI September 2023 Sighting - Serial 5
doc_0007,doc_0005,1,0.1242529153823852,case_pack_0034_State_Department_cable_Mexico,case_pack_0036_State_Department_cable_Tbilisi,False,"State Department UAP Cable 5, Mexico, September 16, 2003","State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001"
doc_0007,doc_0143,2,0.1322660446166992,case_pack_0034_State_Department_cable_Mexico,case_pack_0024_FBI_September_2023_sighting_packet,False,"State Department UAP Cable 5, Mexico, September 16, 2003",FBI September 2023 Sighting - Serial 5
doc_0007,doc_0006,3,0.1322947740554809,case_pack_0034_State_Department_cable_Mexico,case_pack_0032_State_Department_cable_Ashgabat,False,"State Department UAP Cable 5, Mexico, September 16, 2003","State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004"
doc_0007,doc_0004,4,0.1368793249130249,case_pack_0034_State_Department_cable_Mexico,case_pack_0033_State_Department_cable_Kazakhstan,False,"State Department UAP Cable 5, Mexico, September 16, 2003","State Department UAP Cable 2, Kazakhstan, January 31, 1994"
doc_0007,doc_0142,5,0.1404557228088379,case_pack_0034_State_Department_cable_Mexico,case_pack_0024_FBI_September_2023_sighting_packet,False,"State Department UAP Cable 5, Mexico, September 16, 2003",FBI September 2023 Sighting - Serial 4
doc_0005,doc_0004,1,0.106241762638092,case_pack_0036_State_Department_cable_Tbilisi,case_pack_0033_State_Department_cable_Kazakhstan,False,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 2, Kazakhstan, January 31, 1994"
doc_0005,doc_0006,2,0.1098973155021667,case_pack_0036_State_Department_cable_Tbilisi,case_pack_0032_State_Department_cable_Ashgabat,False,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004"
doc_0005,doc_0007,3,0.1242529153823852,case_pack_0036_State_Department_cable_Tbilisi,case_pack_0034_State_Department_cable_Mexico,False,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 5, Mexico, September 16, 2003"
doc_0005,doc_0003,4,0.1331003308296203,case_pack_0036_State_Department_cable_Tbilisi,case_pack_0035_State_Department_cable_Papua_New_Guinea,False,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001","State Department UAP Cable 1, Papua New Guinea, January 28, 1985"
doc_0005,doc_0143,5,0.1374337077140808,case_pack_0036_State_Department_cable_Tbilisi,case_pack_0024_FBI_September_2023_sighting_packet,False,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",FBI September 2023 Sighting - Serial 5
doc_0009,doc_0010,1,0.0466161370277404,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,False,18_100754_ General 1946-7_Vol_2,18_6369445_General_1948_Vol_1
doc_0009,doc_0014,2,0.062440276145935,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,18_100754_ General 1946-7_Vol_2,342_HS1-416511228_319.1 Flying Discs 1949
doc_0009,doc_0015,3,0.0707533359527587,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,18_100754_ General 1946-7_Vol_2,38_143685_box7_Incident_Summaries_1-100
doc_0009,doc_0016,4,0.0747261047363281,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,18_100754_ General 1946-7_Vol_2,38_143685_box_Incident_Summaries_101-172
doc_0009,doc_0017,5,0.0798803567886352,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,18_100754_ General 1946-7_Vol_2,38_143685_box_Incident_Summaries_173-233
doc_0008,doc_0063,1,0.1179525256156921,case_pack_0003_Department_of_State_United_States_Late_2025_case_candidate,case_pack_0013_Department_of_War_Western_United_States_2023_case_candidate,False,USPER Statement about UAP Sighting,Western US Event
doc_0008,doc_0043,2,0.1364745497703552,case_pack_0003_Department_of_State_United_States_Late_2025_case_candidate,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,False,USPER Statement about UAP Sighting,"DOW-UAP-D64, Mission Report, Iran, November 2020"
doc_0008,doc_0042,3,0.1377062201499939,case_pack_0003_Department_of_State_United_States_Late_2025_case_candidate,case_pack_0016_Department_of_War_operational_reports_Gulf_of_Oman_Strait_of,False,USPER Statement about UAP Sighting,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020"
doc_0008,doc_0044,4,0.1437981724739074,case_pack_0003_Department_of_State_United_States_Late_2025_case_candidate,case_pack_0019_Department_of_War_operational_reports_Persian_Gulf,False,USPER Statement about UAP Sighting,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020"
doc_0008,doc_0049,5,0.1447649598121643,case_pack_0003_Department_of_State_United_States_Late_2025_case_candidate,case_pack_0015_Department_of_War_operational_reports_Gulf_of_Aden_Djibouti,False,USPER Statement about UAP Sighting,"DOW-UAP-D8, Mission Report, Djibouti, 2025"
doc_0010,doc_0009,1,0.0466161370277404,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,False,18_6369445_General_1948_Vol_1,18_100754_ General 1946-7_Vol_2
doc_0010,doc_0014,2,0.0613069534301757,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,18_6369445_General_1948_Vol_1,342_HS1-416511228_319.1 Flying Discs 1949
doc_0010,doc_0016,3,0.0670248866081237,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,18_6369445_General_1948_Vol_1,38_143685_box_Incident_Summaries_101-172
doc_0010,doc_0015,4,0.0737345814704895,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,18_6369445_General_1948_Vol_1,38_143685_box7_Incident_Summaries_1-100
doc_0010,doc_0103,5,0.0768575668334961,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,18_6369445_General_1948_Vol_1,65_HS1-834228961_62-HQ-83894_Section_4
doc_0011,doc_0014,1,0.0928527116775512,case_pack_0007_Department_of_War_Germany_3_18_45_case_candidate,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,342_HS1-416511228_319.1 Flying Discs 1949
doc_0011,doc_0016,2,0.0939850211143493,case_pack_0007_Department_of_War_Germany_3_18_45_case_candidate,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,38_143685_box_Incident_Summaries_101-172
doc_0011,doc_0009,3,0.1016460061073303,case_pack_0007_Department_of_War_Germany_3_18_45_case_candidate,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,False,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,18_100754_ General 1946-7_Vol_2
doc_0011,doc_0015,4,0.1049340963363647,case_pack_0007_Department_of_War_Germany_3_18_45_case_candidate,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,38_143685_box7_Incident_Summaries_1-100
doc_0011,doc_0017,5,0.1056829094886779,case_pack_0007_Department_of_War_Germany_3_18_45_case_candidate,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,38_143685_box_Incident_Summaries_173-233
doc_0012,doc_0014,1,0.1064572930335998,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,342_HS1-416511228_319.1 Flying Discs 1949
doc_0012,doc_0016,2,0.1092783212661743,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,38_143685_box_Incident_Summaries_101-172
doc_0012,doc_0017,3,0.110895812511444,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,38_143685_box_Incident_Summaries_173-233
doc_0012,doc_0010,4,0.1138255596160888,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,False,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,18_6369445_General_1948_Vol_1
doc_0012,doc_0015,5,0.1183522939682006,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,38_143685_box7_Incident_Summaries_1-100
doc_0014,doc_0016,1,0.051144540309906,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,342_HS1-416511228_319.1 Flying Discs 1949,38_143685_box_Incident_Summaries_101-172
doc_0014,doc_0015,2,0.0536641478538513,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,342_HS1-416511228_319.1 Flying Discs 1949,38_143685_box7_Incident_Summaries_1-100
doc_0014,doc_0103,3,0.0538976192474365,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,342_HS1-416511228_319.1 Flying Discs 1949,65_HS1-834228961_62-HQ-83894_Section_4
doc_0014,doc_0104,4,0.0569018125534057,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,342_HS1-416511228_319.1 Flying Discs 1949,65_HS1-834228961_62-HQ-83894_Section_5
doc_0014,doc_0105,5,0.057349681854248,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,342_HS1-416511228_319.1 Flying Discs 1949,65_HS1-834228961_62-HQ-83894_Section_6
doc_0013,doc_0014,1,0.1269536018371582,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,"341_110677_Numerical_File,_5-2500",342_HS1-416511228_319.1 Flying Discs 1949
doc_0013,doc_0012,2,0.1295491456985473,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,True,"341_110677_Numerical_File,_5-2500",341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399
doc_0013,doc_0009,3,0.1378678083419799,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0008_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,False,"341_110677_Numerical_File,_5-2500",18_100754_ General 1946-7_Vol_2
doc_0013,doc_0097,4,0.1404485702514648,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0022_FBI_100_DE_Detroit_Germany_historical_serial_family,False,"341_110677_Numerical_File,_5-2500",65_HS1-101634279_100-DE-26505
doc_0013,doc_0016,5,0.1412087678909301,case_pack_0005_Department_of_War_Cold_War_intelligence_historical_files,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,"341_110677_Numerical_File,_5-2500",38_143685_box_Incident_Summaries_101-172
doc_0015,doc_0016,1,0.0092382431030273,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,38_143685_box7_Incident_Summaries_1-100,38_143685_box_Incident_Summaries_101-172
doc_0015,doc_0017,2,0.0304548740386962,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,38_143685_box7_Incident_Summaries_1-100,38_143685_box_Incident_Summaries_173-233
doc_0015,doc_0014,3,0.0536641478538513,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,38_143685_box7_Incident_Summaries_1-100,342_HS1-416511228_319.1 Flying Discs 1949
doc_0015,doc_0109,4,0.058343768119812,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,38_143685_box7_Incident_Summaries_1-100,65_HS1-834228961_62-HQ-83894_Serial_130
doc_0015,doc_0101,5,0.0692886710166931,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,38_143685_box7_Incident_Summaries_1-100,65_HS1-834228961_62-HQ-83894_Section_2
doc_0016,doc_0015,1,0.0092382431030273,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,38_143685_box_Incident_Summaries_101-172,38_143685_box7_Incident_Summaries_1-100
doc_0016,doc_0017,2,0.0239025354385375,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,38_143685_box_Incident_Summaries_101-172,38_143685_box_Incident_Summaries_173-233
doc_0016,doc_0014,3,0.051144540309906,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,38_143685_box_Incident_Summaries_101-172,342_HS1-416511228_319.1 Flying Discs 1949
doc_0016,doc_0109,4,0.0604170560836792,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,38_143685_box_Incident_Summaries_101-172,65_HS1-834228961_62-HQ-83894_Serial_130
doc_0016,doc_0010,5,0.0670248866081237,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0009_Department_of_War_PDF_singleton_uncertain_case_candidate_18_,False,38_143685_box_Incident_Summaries_101-172,18_6369445_General_1948_Vol_1
doc_0017,doc_0016,1,0.0239025354385375,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0011_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,38_143685_box_Incident_Summaries_173-233,38_143685_box_Incident_Summaries_101-172
doc_0017,doc_0015,2,0.0304548740386962,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0010_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,False,38_143685_box_Incident_Summaries_173-233,38_143685_box7_Incident_Summaries_1-100
doc_0017,doc_0014,3,0.0618664026260376,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0006_Department_of_War_Flying_Discs_1949_historical_report,False,38_143685_box_Incident_Summaries_173-233,342_HS1-416511228_319.1 Flying Discs 1949
doc_0017,doc_0109,4,0.0730673670768737,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,38_143685_box_Incident_Summaries_173-233,65_HS1-834228961_62-HQ-83894_Serial_130
doc_0017,doc_0105,5,0.0778598189353942,case_pack_0012_Department_of_War_PDF_singleton_uncertain_case_candidate_38_,case_pack_0023_FBI_62_HQ_83894_historical_archive_family,False,38_143685_box_Incident_Summaries_173-233,65_HS1-834228961_62-HQ-83894_Section_6
doc_0019,doc_0046,1,0.041156530380249,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023","DOW-UAP-D74, Mission Report, Syria, November 2023"
doc_0019,doc_0057,2,0.0445936918258667,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023","DOW-UAP-PR31, Unresolved UAP Report, Syria, October 2024"
doc_0019,doc_0059,3,0.0446594357490539,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023","DOW-UAP-PR33, Unresolved UAP Report, Syria, October 2024"
doc_0019,doc_0058,4,0.0452492237091064,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023","DOW-UAP-PR32, Unresolved UAP Report, Syria, October 2024"
doc_0019,doc_0053,5,0.0458630323410034,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023","DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022"
doc_0018,doc_0054,1,0.0297313332557678,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D12, Mission Report, Iraq, May 2022","DOW-UAP-PR23, Unresolved UAP Report, Iraq, December 2022"
doc_0018,doc_0052,2,0.0377225279808044,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D12, Mission Report, Iraq, May 2022","DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022"
doc_0018,doc_0023,3,0.0422365069389343,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D12, Mission Report, Iraq, May 2022","DOW-UAP-D28, Mission Report, Iraq, September 2024"
doc_0018,doc_0050,4,0.0463443994522094,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D12, Mission Report, Iraq, May 2022","DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022"
doc_0018,doc_0020,5,0.049083411693573,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,case_pack_0018_Department_of_War_operational_reports_Middle_East_Iraq_Syria,True,"DOW-UAP-D12, Mission Report, Iraq, May 2022","DOW-UAP-D20, Mission Report, Southern United States, 2020"
doc_0021,doc_0060,1,0.0366367101669311,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,True,"DOW-UAP-D25, Mission Report, Greece, January 2024","DOW-UAP-PR34, Unresolved UAP Report, Greece, October 2023"
doc_0021,doc_0061,2,0.0371637344360351,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,True,"DOW-UAP-D25, Mission Report, Greece, January 2024","DOW-UAP-PR35, Unresolved UAP Report, Greece, October 2023"
doc_0021,doc_0022,3,0.0679802298545837,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,case_pack_0016_Department_of_War_operational_reports_Gulf_of_Oman_Strait_of,False,"DOW-UAP-D25, Mission Report, Greece, January 2024","DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023"
doc_0021,doc_0047,4,0.0685386657714843,case_pack_0021_Department_of_War_operational_reports_other_unspecified_regi,case_pack_0015_Department_of_War_operational_reports_Gulf_of_Aden_Djibouti,False,"DOW-UAP-D25, Mission Report, Greece, January 2024","DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024"
