document_id,Title,Agency,File Group,Output Path,variant,cluster,pca_1,pca_2
doc_0003,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_1__Papua_New_Guinea__January_28__1985.pdf,raw,2,-0.13233612,0.08840649
doc_0004,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_2__Kazakhstan__January_31__1994.pdf,raw,2,-0.13769117,0.09962558
doc_0001,59_214434_SP 16 [7.18.1963],Department of State,PDF,ufo_release/Department of State/PDF/59_214434_SP_16__7_18_1963_.pdf,raw,3,-0.12361082,0.22695069
doc_0002,59_64634_711.5612[7-2852,Department of State,PDF,ufo_release/Department of State/PDF/59_64634_711_5612_7-2852.pdf,raw,3,-0.118436776,0.23800421
doc_0006,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_4__Ashgabat__Turkmenistan__November_5__2004.pdf,raw,2,-0.1722069,0.084593825
doc_0007,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_5__Mexico__September_16__2003.pdf,raw,2,-0.10028857,0.06901905
doc_0005,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,ufo_release/Department of State/PDF/State_Department_UAP_Cable_3__Tbilisi__Georgia__October_30__2001.pdf,raw,2,-0.16794218,0.07412795
doc_0009,18_100754_ General 1946-7_Vol_2,Department of War,PDF,ufo_release/Department of War/PDF/18_100754__General_1946-7_Vol_2.pdf,raw,3,-0.13808727,0.24288712
doc_0008,USPER Statement about UAP Sighting,Department of State,PDF,ufo_release/Department of State/PDF/USPER_Statement_about_UAP_Sighting.pdf,raw,2,-0.03069879,0.008785451
doc_0010,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,raw,3,-0.139386,0.23806253
