method,seed,n_clusters,agency_purity,modality_purity,cluster_size_min,cluster_size_max,silhouette,davies_bouldin,calinski_harabasz,variant,controls
KMeans,42,5,0.8616352201257862,0.7924528301886793,7,68,0.4138844907283783,1.6673050843882138,29.37018394470215,raw,
KMeans,42,5,0.6352201257861635,0.7547169811320755,14,70,0.22952409088611603,2.5236216293362785,16.794193267822266,agency_controlled,Agency
KMeans,42,5,0.8301886792452831,0.7547169811320755,10,53,0.2973797023296356,2.1643479339287746,21.82598876953125,modality_controlled,File Group
KMeans,42,5,0.6352201257861635,0.7547169811320755,17,53,0.18618234992027283,2.6256988003162944,13.67103099822998,agency_modality_controlled,"Agency,File Group"
