embedding_id,document_id,chunk_id,title,agency,file_group,output_path,source_filename,mime_type,metadata_text,chunk_kind,page_start,page_end,video_duration_sec,source_part_count,skip_reason
doc_0009__pdf_pages_0007_0012,doc_0009,pdf_pages_0007_0012,18_100754_ General 1946-7_Vol_2,Department of War,PDF,ufo_release/Department of War/PDF/18_100754__General_1946-7_Vol_2.pdf,18_100754__General_1946-7_Vol_2.pdf,image/jpeg,"Title: 18_100754_ General 1946-7_Vol_2
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 12/30/47
Incident location: missing
Filename: 18_100754__General_1946-7_Vol_2.pdf",pdf_page_images,7.0,12.0,,6,
doc_0009__pdf_pages_0013_0018,doc_0009,pdf_pages_0013_0018,18_100754_ General 1946-7_Vol_2,Department of War,PDF,ufo_release/Department of War/PDF/18_100754__General_1946-7_Vol_2.pdf,18_100754__General_1946-7_Vol_2.pdf,image/jpeg,"Title: 18_100754_ General 1946-7_Vol_2
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 12/30/47
Incident location: missing
Filename: 18_100754__General_1946-7_Vol_2.pdf",pdf_page_images,13.0,18.0,,6,
doc_0009__pdf_pages_0019_0024,doc_0009,pdf_pages_0019_0024,18_100754_ General 1946-7_Vol_2,Department of War,PDF,ufo_release/Department of War/PDF/18_100754__General_1946-7_Vol_2.pdf,18_100754__General_1946-7_Vol_2.pdf,image/jpeg,"Title: 18_100754_ General 1946-7_Vol_2
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 12/30/47
Incident location: missing
Filename: 18_100754__General_1946-7_Vol_2.pdf",pdf_page_images,19.0,24.0,,6,
doc_0009__pdf_pages_0025_0028,doc_0009,pdf_pages_0025_0028,18_100754_ General 1946-7_Vol_2,Department of War,PDF,ufo_release/Department of War/PDF/18_100754__General_1946-7_Vol_2.pdf,18_100754__General_1946-7_Vol_2.pdf,image/jpeg,"Title: 18_100754_ General 1946-7_Vol_2
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 12/30/47
Incident location: missing
Filename: 18_100754__General_1946-7_Vol_2.pdf",pdf_page_images,25.0,28.0,,4,
doc_0010__pdf_pages_0001_0006,doc_0010,pdf_pages_0001_0006,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,18_6369445_General_1948_Vol_1.pdf,image/jpeg,"Title: 18_6369445_General_1948_Vol_1
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 6/15/48
Incident location: missing
Filename: 18_6369445_General_1948_Vol_1.pdf",pdf_page_images,1.0,6.0,,6,
doc_0010__pdf_pages_0007_0012,doc_0010,pdf_pages_0007_0012,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,18_6369445_General_1948_Vol_1.pdf,image/jpeg,"Title: 18_6369445_General_1948_Vol_1
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 6/15/48
Incident location: missing
Filename: 18_6369445_General_1948_Vol_1.pdf",pdf_page_images,7.0,12.0,,6,
doc_0010__pdf_pages_0013_0018,doc_0010,pdf_pages_0013_0018,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,18_6369445_General_1948_Vol_1.pdf,image/jpeg,"Title: 18_6369445_General_1948_Vol_1
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 6/15/48
Incident location: missing
Filename: 18_6369445_General_1948_Vol_1.pdf",pdf_page_images,13.0,18.0,,6,
doc_0010__pdf_pages_0019_0024,doc_0010,pdf_pages_0019_0024,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,18_6369445_General_1948_Vol_1.pdf,image/jpeg,"Title: 18_6369445_General_1948_Vol_1
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 6/15/48
Incident location: missing
Filename: 18_6369445_General_1948_Vol_1.pdf",pdf_page_images,19.0,24.0,,6,
doc_0010__pdf_pages_0025_0028,doc_0010,pdf_pages_0025_0028,18_6369445_General_1948_Vol_1,Department of War,PDF,ufo_release/Department of War/PDF/18_6369445_General_1948_Vol_1.pdf,18_6369445_General_1948_Vol_1.pdf,image/jpeg,"Title: 18_6369445_General_1948_Vol_1
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 6/15/48
Incident location: missing
Filename: 18_6369445_General_1948_Vol_1.pdf",pdf_page_images,25.0,28.0,,4,
doc_0011__pdf_pages_0001_0006,doc_0011,pdf_pages_0001_0006,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,image/jpeg,"Title: 331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 3/18/45
Incident location: Germany
Filename: 331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf",pdf_page_images,1.0,6.0,,6,
